id,title,prompt_html,options_json,answer_id,answer_detail_html
"q11","What's the output?","<pre><span>function</span> <span class=""pl-v"">Person</span><span>(</span><span>firstName</span><span>,</span> <span>lastName</span><span>)</span> <span>{</span>
  <span>this</span><span>.</span><span>firstName</span> <span>=</span> <span>firstName</span><span>;</span>
  <span>this</span><span>.</span><span>lastName</span> <span>=</span> <span>lastName</span><span>;</span>
<span>}</span>

<span>const</span> <span>member</span> <span>=</span> <span>new</span> <span class=""pl-v"">Person</span><span>(</span><span class=""pl-s"">'Lydia'</span><span>,</span> <span class=""pl-s"">'Hallie'</span><span>)</span><span>;</span>
<span class=""pl-v"">Person</span><span>.</span><span class=""pl-en"">getFullName</span> <span>=</span> <span>function</span><span>(</span><span>)</span> <span>{</span>
  <span>return</span> <span class=""pl-s"">`<span><span>${</span><span>this</span><span>.</span><span>firstName</span><span>}</span></span> <span><span>${</span><span>this</span><span>.</span><span>lastName</span><span>}</span></span>`</span><span>;</span>
<span>}</span><span>;</span>

<span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span>member</span><span>.</span><span class=""pl-en"">getFullName</span><span>(</span><span>)</span><span>)</span><span>;</span></pre><div class=""zeroclipboard-container position-absolute right-0 top-0"">
     
  </div>","[{""id"":""A"",""content"":""`TypeError`""},{""id"":""B"",""content"":""`SyntaxError`""},{""id"":""C"",""content"":""`Lydia Hallie`""},{""id"":""D"",""content"":""`undefined` `undefined`""}]","A","<p>In JavaScript, functions are objects, and therefore, the method `getFullName` gets added to the constructor function object itself. For that reason, we can call `Person.getFullName()`, but `member.getFullName` throws a `TypeError`.</p>
<p>If you want a method to be available to all object instances, you have to add it to the prototype property:</p>
<div class=""highlight highlight-source-js position-relative overflow-auto""><pre><span class=""pl-v"">Person</span><span>.</span><span>prototype</span><span>.</span><span class=""pl-en"">getFullName</span> <span>=</span> <span>function</span><span>(</span><span>)</span> <span>{</span>
  <span>return</span> <span class=""pl-s"">`<span><span>${</span><span>this</span><span>.</span><span>firstName</span><span>}</span></span> <span><span>${</span><span>this</span><span>.</span><span>lastName</span><span>}</span></span>`</span><span>;</span>
<span>}</span><span>;</span></pre><div class=""zeroclipboard-container position-absolute right-0 top-0"">
     
  </div></div>
<p></p>"
"q12","What's the output?","<pre><span>function</span> <span class=""pl-v"">Person</span><span>(</span><span>firstName</span><span>,</span> <span>lastName</span><span>)</span> <span>{</span>
  <span>this</span><span>.</span><span>firstName</span> <span>=</span> <span>firstName</span><span>;</span>
  <span>this</span><span>.</span><span>lastName</span> <span>=</span> <span>lastName</span><span>;</span>
<span>}</span>

<span>const</span> <span>lydia</span> <span>=</span> <span>new</span> <span class=""pl-v"">Person</span><span>(</span><span class=""pl-s"">'Lydia'</span><span>,</span> <span class=""pl-s"">'Hallie'</span><span>)</span><span>;</span>
<span>const</span> <span>sarah</span> <span>=</span> <span class=""pl-v"">Person</span><span>(</span><span class=""pl-s"">'Sarah'</span><span>,</span> <span class=""pl-s"">'Smith'</span><span>)</span><span>;</span>

<span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span>lydia</span><span>)</span><span>;</span>
<span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span>sarah</span><span>)</span><span>;</span></pre><div class=""zeroclipboard-container position-absolute right-0 top-0"">
     
  </div>","[{""id"":""A"",""content"":""`Person {firstName: \""Lydia\"", lastName: \""Hallie\""}` and `undefined`""},{""id"":""B"",""content"":""`Person {firstName: \""Lydia\"", lastName: \""Hallie\""}` and `Person {firstName: \""Sarah\"", lastName: \""Smith\""}`""},{""id"":""C"",""content"":""`Person {firstName: \""Lydia\"", lastName: \""Hallie\""}` and `{}`""},{""id"":""D"",""content"":""`Person {firstName: \""Lydia\"", lastName: \""Hallie\""}` and `ReferenceError`""}]","A","<p>For `sarah`, we didn't use the `new` keyword. When using `new`, `this` refers to the new empty object we create. However, if you don't add `new`, `this` refers to the **global object**!</p>
<p>We said that `this.firstName` equals `""Sarah""` and `this.lastName` equals `""Smith""`. What we actually did, is defining `global.firstName = 'Sarah'` and `global.lastName = 'Smith'`. `sarah` itself is left `undefined`, since we don't return a value from the `Person` function.</p>
<p></p>"
"q13","What are the three phases of event propagation?","","[{""id"":""A"",""content"":""Target > Capturing > Bubbling""},{""id"":""B"",""content"":""Bubbling > Target > Capturing""},{""id"":""C"",""content"":""Target > Bubbling > Capturing""},{""id"":""D"",""content"":""Capturing > Target > Bubbling""}]","D","<p>During the **capturing** phase, the event goes through the ancestor elements down to the target element. It then reaches the **target** element, and **bubbling** begins.</p>"
"q14","All object have prototypes.","","[{""id"":""A"",""content"":""true""},{""id"":""B"",""content"":""false""}]","B","<p>All objects have prototypes, except for the **base object**. The base object is the object created by the user, or an object that is created using the `new` keyword. The base object has access to some methods and properties, such as `.toString`. This is the reason why you can use built-in JavaScript methods! All of such methods are available on the prototype. Although JavaScript can't find it directly on your object, it goes down the prototype chain and finds it there, which makes it accessible for you.</p>"
"q15","What's the output?","<pre><span>function</span> <span class=""pl-en"">sum</span><span>(</span><span>a</span><span>,</span> <span>b</span><span>)</span> <span>{</span>
  <span>return</span> <span>a</span> <span>+</span> <span>b</span><span>;</span>
<span>}</span>

<span class=""pl-en"">sum</span><span>(</span><span>1</span><span>,</span> <span class=""pl-s"">'2'</span><span>)</span><span>;</span></pre><div class=""zeroclipboard-container position-absolute right-0 top-0"">
     
  </div>","[{""id"":""A"",""content"":""`NaN`""},{""id"":""B"",""content"":""`TypeError`""},{""id"":""C"",""content"":""`\""12\""`""},{""id"":""D"",""content"":""`3`""}]","C","<p>JavaScript is a **dynamically typed language**: we don't specify what types certain variables are. Values can automatically be converted into another type without you knowing, which is called <em>implicit type coercion</em>. **Coercion** is converting from one type into another.</p>
<p>In this example, JavaScript converts the number `1` into a string, in order for the function to make sense and return a value. During the addition of a numeric type (`1`) and a string type (`'2'`), the number is treated as a string. We can concatenate strings like `""Hello"" + ""World""`, so what's happening here is `""1"" + ""2""` which returns `""12""`.</p>
<p></p>"
"q16","What's the output?","<pre><span>let</span> <span>number</span> <span>=</span> <span>0</span><span>;</span>
<span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span>number</span><span>++</span><span>)</span><span>;</span>
<span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span>++</span><span>number</span><span>)</span><span>;</span>
<span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span>number</span><span>)</span><span>;</span></pre><div class=""zeroclipboard-container position-absolute right-0 top-0"">
     
  </div>","[{""id"":""A"",""content"":""`1` `1` `2`""},{""id"":""B"",""content"":""`1` `2` `2`""},{""id"":""C"",""content"":""`0` `2` `2`""},{""id"":""D"",""content"":""`0` `1` `2`""}]","C","<p dir=""auto"">
</p>
<p dir=""auto"">The <strong>postfix</strong> unary operator <code>++</code>:</p>
<ol dir=""auto"">
<li>Returns the value (this returns <code>0</code>)</li>
<li>Increments the value (number is now <code>1</code>)</li>
</ol>
<p dir=""auto"">The <strong>prefix</strong> unary operator <code>++</code>:</p>
<ol dir=""auto"">
<li>Increments the value (number is now <code>2</code>)</li>
<li>Returns the value (this returns <code>2</code>)</li>
</ol>
<p dir=""auto"">This returns <code>0 2 2</code>.</p>
<p dir=""auto""></p>"
"q17","What's the output?","<pre><span>function</span> <span class=""pl-en"">getPersonInfo</span><span>(</span><span>one</span><span>,</span> <span>two</span><span>,</span> <span>three</span><span>)</span> <span>{</span>
  <span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span>one</span><span>)</span><span>;</span>
  <span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span>two</span><span>)</span><span>;</span>
  <span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span>three</span><span>)</span><span>;</span>
<span>}</span>

<span>const</span> <span>person</span> <span>=</span> <span class=""pl-s"">'Lydia'</span><span>;</span>
<span>const</span> <span>age</span> <span>=</span> <span>21</span><span>;</span>

<span class=""pl-en"">getPersonInfo</span><span class=""pl-s"">`<span><span>${</span><span>person</span><span>}</span></span> is <span><span>${</span><span>age</span><span>}</span></span> years old`</span><span>;</span></pre><div class=""zeroclipboard-container position-absolute right-0 top-0"">
     
  </div>","[{""id"":""A"",""content"":""`\""Lydia\""` `21` `[\""\"", \"" is \"", \"" years old\""]`""},{""id"":""B"",""content"":""`[\""\"", \"" is \"", \"" years old\""]` `\""Lydia\""` `21`""},{""id"":""C"",""content"":""`\""Lydia\""` `[\""\"", \"" is \"", \"" years old\""]` `21`""}]","B","<p>If you use tagged template literals, the value of the first argument is always an array of the string values. The remaining arguments get the values of the passed expressions!</p>
<p></p>"
"q18","What's the output?","<pre><span>function</span> <span class=""pl-en"">checkAge</span><span>(</span><span>data</span><span>)</span> <span>{</span>
  <span>if</span> <span>(</span><span>data</span> <span>===</span> <span>{</span> <span>age</span>: <span>18</span> <span>}</span><span>)</span> <span>{</span>
    <span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span class=""pl-s"">'You are an adult!'</span><span>)</span><span>;</span>
  <span>}</span> <span>else</span> <span>if</span> <span>(</span><span>data</span> <span>==</span> <span>{</span> <span>age</span>: <span>18</span> <span>}</span><span>)</span> <span>{</span>
    <span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span class=""pl-s"">'You are still an adult.'</span><span>)</span><span>;</span>
  <span>}</span> <span>else</span> <span>{</span>
    <span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span class=""pl-s"">`Hmm.. You don't have an age I guess`</span><span>)</span><span>;</span>
  <span>}</span>
<span>}</span>

<span class=""pl-en"">checkAge</span><span>(</span><span>{</span> <span>age</span>: <span>18</span> <span>}</span><span>)</span><span>;</span></pre><div class=""zeroclipboard-container position-absolute right-0 top-0"">
     
  </div>","[{""id"":""A"",""content"":""`You are an adult!`""},{""id"":""B"",""content"":""`You are still an adult.`""},{""id"":""C"",""content"":""`Hmm.. You don't have an age I guess`""}]","C","<p>When testing equality, primitives are compared by their <em>value</em>, while objects are compared by their <em>reference</em>. JavaScript checks if the objects have a reference to the same location in memory.</p>
<p>The two objects that we are comparing don't have that: the object we passed as a parameter refers to a different location in memory than the object we used in order to check equality.</p>
<p>This is why both `{ age: 18 } === { age: 18 }` and `{ age: 18 } == { age: 18 }` return `false`.</p>
<p></p>"
"q19","What's the output?","<pre><span>function</span> <span class=""pl-en"">getAge</span><span>(</span>...<span>args</span><span>)</span> <span>{</span>
  <span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span>typeof</span> <span>args</span><span>)</span><span>;</span>
<span>}</span>

<span class=""pl-en"">getAge</span><span>(</span><span>21</span><span>)</span><span>;</span></pre><div class=""zeroclipboard-container position-absolute right-0 top-0"">
     
  </div>","[{""id"":""A"",""content"":""`\""number\""`""},{""id"":""B"",""content"":""`\""array\""`""},{""id"":""C"",""content"":""`\""object\""`""},{""id"":""D"",""content"":""`\""NaN\""`""}]","C","<p>The rest parameter (`...args`) lets us ""collect"" all remaining arguments into an array. An array is an object, so `typeof args` returns `""object""`</p>
<p></p>"
"q20","What's the output?","<pre><span>function</span> <span class=""pl-en"">getAge</span><span>(</span><span>)</span> <span>{</span>
  <span class=""pl-s"">'use strict'</span><span>;</span>
  <span>age</span> <span>=</span> <span>21</span><span>;</span>
  <span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span>age</span><span>)</span><span>;</span>
<span>}</span>

<span class=""pl-en"">getAge</span><span>(</span><span>)</span><span>;</span></pre><div class=""zeroclipboard-container position-absolute right-0 top-0"">
     
  </div>","[{""id"":""A"",""content"":""`21`""},{""id"":""B"",""content"":""`undefined`""},{""id"":""C"",""content"":""`ReferenceError`""},{""id"":""D"",""content"":""`TypeError`""}]","C","<p>With `""use strict""`, you can make sure that you don't accidentally declare global variables. We never declared the variable `age`, and since we use `""use strict""`, it will throw a reference error. If we didn't use `""use strict""`, it would have worked, since the property `age` would have gotten added to the global object.</p>
<p></p>"
"q21","What's the value of sum?","<pre><span>const</span> <span>sum</span> <span>=</span> <span class=""pl-en"">eval</span><span>(</span><span class=""pl-s"">'10*10+5'</span><span>)</span><span>;</span></pre><div class=""zeroclipboard-container position-absolute right-0 top-0"">
     
  </div>","[{""id"":""A"",""content"":""`105`""},{""id"":""B"",""content"":""`\""105\""`""},{""id"":""C"",""content"":""`TypeError`""},{""id"":""D"",""content"":""`\""10*10+5\""`""}]","A","<p>`eval` evaluates codes that's passed as a string. If it's an expression, like in this case, it evaluates the expression. The expression is `10 * 10 + 5`. This returns the number `105`.</p>
<p></p>"
"q22","How long is cool_secret accessible?","<pre><span>sessionStorage</span><span>.</span><span class=""pl-en"">setItem</span><span>(</span><span class=""pl-s"">'cool_secret'</span><span>,</span> <span>123</span><span>)</span><span>;</span></pre><div class=""zeroclipboard-container position-absolute right-0 top-0"">
     
  </div>","[{""id"":""A"",""content"":""Forever, the data doesn't get lost.""},{""id"":""B"",""content"":""When the user closes the tab.""},{""id"":""C"",""content"":""When the user closes the entire browser, not only the tab.""},{""id"":""D"",""content"":""When the user shuts off their computer.""}]","B","<p>The data stored in `sessionStorage` is removed after closing the <em>tab</em>.</p>
<p>If you used `localStorage`, the data would've been there forever, unless for example `localStorage.clear()` is invoked.</p>
<p></p>"
"q23","What's the output?","<pre><span>var</span> <span>num</span> <span>=</span> <span>8</span><span>;</span>
<span>var</span> <span>num</span> <span>=</span> <span>10</span><span>;</span>

<span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span>num</span><span>)</span><span>;</span></pre><div class=""zeroclipboard-container position-absolute right-0 top-0"">
     
  </div>","[{""id"":""A"",""content"":""`8`""},{""id"":""B"",""content"":""`10`""},{""id"":""C"",""content"":""`SyntaxError`""},{""id"":""D"",""content"":""`ReferenceError`""}]","B","<p>With the `var` keyword, you can declare multiple variables with the same name. The variable will then hold the latest value.</p>
<p>You cannot do this with `let` or `const` since they're block-scoped.</p>
<p></p>"
